id,mdb,project_name,region,multi_country,country,iso_country_code,city,year,context,sector,subset,amounttotal_2020usd,amountmdb_2020usd,sponsor1,amount1,sponsor2,amount2,sponsor3,amount3,sponsor4,amount4,sponsor5,amount5,sponsor6,amount6,sponsor7,amount7,ppp_sanitation,ppp_water,amount_sanitation,amount_water,primaryc,secondaryc,towns,network_infrastructure,n_drains_sewers,n_treatment,non_network_infrastructure,nn_containment,nn_transport,nn_treatment,nn_disposal,nn_reuse,ur1,ur2,ur3,ur4,ur5,er1,er2,er3
P002084,IBRD,National Water Rehabilitation Fund Project,Western Africa,0,Nigeria,NGA,MULTI,1991,Urban,Water,3,582835842.74613,486488346.080891,IBRD,486488346.080891,GOV,87795943.7067857,OTHER_MULTI_BI_LATERAL,8551552.95845316,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non,NA,306700000,0,MULTI,MULTI,TRUE,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
P-NG-EA0-001,AfDB,Nigeria - Ibadan Water Supply II Project,Western Africa,0,Nigeria,NGA,Ibadan,1991,Urban,Water,1,241536413.331393,192761137.614526,AfDB,192761137.614526,AfDB,8345876.06882422,GOV,40429399.6480426,NA,NA,NA,NA,NA,NA,NA,NA,NA,Divestiture,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P010369,IBRD,MAHARASHTRA RURAL WATER SUPPLY AND ENVIRONMENTAL SANITATION PROJECT,Southern Asia,0,India,IND,NA,1991,Rural,Water & Sanitation +,1,267378555.834302,208847926.696445,IBRD,208847926.696445,GOV,54729938.9341002,COM,3800690.20375696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P002645,IBRD,Emergency Drought Recovery Project,Northern Africa,0,Sudan,SDN,NA,1991,Rural,Water & Sanitation +,1,49408972.6488405,44658109.8941443,IBRD,44658109.8941443,GOV,4750862.7546962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P000035,IBRD,LOBITO BENGUELA URBAN ENVIRONMENTAL REHABILITATION PROJECT,Middle Africa,0,Angola,AGO,Lobito,1991,Urban,Water & Sanitation +,2,111740291.990455,86617729.7436211,IBRD,86617729.7436211,OTHER_MULTI_BI_LATERAL,13302415.7131494,GOV,11972174.1418344,NA,NA,NA,NA,NA,NA,NA,NA,Non,Non,16480000,9600000,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1122,AsDB,SOUTHERN PROVINCIAL TOWNS WATER SUPPLY PROJ,South-eastern Asia,0,Lao People's Democratic Republic,LAO,MULTI,1991,Urban,Water,1,22804141.2225418,18243312.9780334,GOV,4560828.24450835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P008375,IBRD,Southeast Coast Sewerage & Drainage Project,Western Asia,0,Cyprus,CYP,NA,1991,Rural,Sanitation +,1,196305649.024047,60811043.2601113,IBRD,60811043.2601113,GOV,74683562.5038242,NA,60811043.2601113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P009958,IBRD,Agricultural Development Project - Tamil Nadu,Southern Asia,0,India,IND,NA,1991,Rural,Water +,1,253316002.080401,214358927.491892,IBRD,214358927.491892,GOV,34206211.8338126,COM,4750862.7546962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P002548,IBRD,Multisector Credit Project (02),Middle Africa,0,Sao Tome and Principe,STP,MULTI,1991,Both,Water & Sanitation +,1,14442622.7742764,11402070.6112709,IBRD,11402070.6112709,GOV,3040552.16300557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P004937,IBRD,Pilot Public Health Management Project,Northern Africa,0,Algeria,DZA,MULTI,1991,Both,Water +,1,50739214.2201554,30405521.6300557,IBRD,30405521.6300557,GOV,20333692.5900997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
